City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,tanout,14.9709,8.8879,301.64,7,48,4.4,NE,1969-12-31 19:00:01.682292956-05:00
117,alo,7.4178,6.7371,299.43,84,100,1.58,NG,1969-12-31 19:00:01.682292956-05:00
118,lorengau,-2.0226,147.2712,300.67,78,100,1.36,PG,1969-12-31 19:00:01.682292956-05:00
119,tayga,56.06,85.6197,277.66,86,100,3.12,RU,1969-12-31 19:00:01.682292956-05:00
120,hell-ville,-13.4,48.2667,300.11,77,30,1.87,MG,1969-12-31 19:00:01.682292956-05:00
121,ulladulla,-35.35,150.4667,292.45,62,67,1.71,AU,1969-12-31 19:00:01.682292956-05:00
122,miramar beach,30.3744,-86.3586,299.4,48,0,2.06,US,1969-12-31 19:00:01.682292803-05:00
123,mogadishu,2.0371,45.3438,301.31,76,83,4.16,SO,1969-12-31 19:00:01.682292957-05:00
124,whitehorse,60.7161,-135.0538,280.58,61,100,4.12,CA,1969-12-31 19:00:01.682292957-05:00
125,talakan,50.3167,130.3667,277.41,42,39,6.12,RU,1969-12-31 19:00:01.682292957-05:00
126,aasiaat,68.7098,-52.8699,273.02,99,100,3.91,GL,1969-12-31 19:00:01.682292957-05:00
127,uige,-7.6087,15.0613,292.55,95,96,0.73,AO,1969-12-31 19:00:01.682292957-05:00
128,nantucket,41.2835,-70.0995,283.21,93,100,8.75,US,1969-12-31 19:00:01.682292751-05:00
129,east london,-33.0153,27.9116,293.28,59,100,3.1,ZA,1969-12-31 19:00:01.682292958-05:00
130,mlyniv,50.509,25.6168,282.55,77,20,3.25,UA,1969-12-31 19:00:01.682292958-05:00
131,priozersk,61.0393,30.1291,278.2,88,91,1.99,RU,1969-12-31 19:00:01.682292958-05:00
132,hamilton,39.1834,-84.5333,281.17,54,100,5.14,US,1969-12-31 19:00:01.682292958-05:00
133,greenville,35.6127,-77.3663,293.24,40,0,0.0,US,1969-12-31 19:00:01.682292815-05:00
134,bredasdorp,-34.5322,20.0403,291.44,83,100,2.78,ZA,1969-12-31 19:00:01.682292958-05:00
135,peniche,39.3558,-9.3811,288.87,93,26,3.17,PT,1969-12-31 19:00:01.682292958-05:00
136,manta,-0.95,-80.7333,300.03,83,100,0.0,EC,1969-12-31 19:00:01.682292769-05:00
137,san ramon,37.7799,-121.978,297.92,65,0,4.63,US,1969-12-31 19:00:01.682292959-05:00
138,avarua,-21.2078,-159.775,300.18,61,43,4.63,CK,1969-12-31 19:00:01.682292712-05:00
139,sa'dah,16.9402,43.7639,292.13,62,84,1.66,YE,1969-12-31 19:00:01.682292959-05:00
140,fort-shevchenko,44.5086,50.263,288.74,55,98,12.93,KZ,1969-12-31 19:00:01.682292959-05:00
141,magadan,59.5667,150.8,275.11,66,91,7.04,RU,1969-12-31 19:00:01.682292959-05:00
142,bilibino,68.0546,166.4372,272.97,65,26,2.53,RU,1969-12-31 19:00:01.682292960-05:00
143,mossel bay,-34.1831,22.146,294.11,77,100,0.97,ZA,1969-12-31 19:00:01.682292960-05:00
144,christchurch,-43.5333,172.6333,287.27,52,15,6.69,NZ,1969-12-31 19:00:01.682292811-05:00
145,ormara,25.2088,64.6357,298.91,88,97,3.14,PK,1969-12-31 19:00:01.682292960-05:00
146,shakiso,5.75,38.9167,288.35,95,99,0.78,ET,1969-12-31 19:00:01.682292960-05:00
147,tongchuanshi,35.0806,109.0897,275.24,99,100,0.89,CN,1969-12-31 19:00:01.682292962-05:00
148,maymana,35.9214,64.7836,291.63,28,100,0.24,AF,1969-12-31 19:00:01.682292962-05:00
149,san antonio de pale,-1.4014,5.6325,300.9,75,41,3.97,GQ,1969-12-31 19:00:01.682292963-05:00
150,benito juarez,19.385,-99.165,300.93,14,20,8.23,MX,1969-12-31 19:00:01.682292789-05:00
151,kingston,17.997,-76.7936,296.48,88,64,0.62,JM,1969-12-31 19:00:01.682292964-05:00
152,bac lieu,9.285,105.7244,301.89,71,94,3.68,VN,1969-12-31 19:00:01.682292965-05:00
153,taiynsha,53.8478,69.7639,280.88,82,75,6.87,KZ,1969-12-31 19:00:01.682292965-05:00
154,kruisfontein,-34.0033,24.7314,291.97,71,100,2.58,ZA,1969-12-31 19:00:01.682292966-05:00
